69
1473318238,18.5
1473318838,19
1473319438,19.5
1473320038,20
1473320638,20
1473321238,21
1473321838,21.1
1473322438,21.2
1473323038,21.3
1473323638,21
1473324238,21
1473324838,22
1473325438,23
1473326038,23.5
1473326638,24
1473327238,24.5
1473327838,24
1473328438,23.5
1473329038,23
1473329638,22
1473330238,21.5
1473330838,21
1473331438,19
1473332038,18.5
1473332638,19
1473333238,19.5
1473333838,20
1473334438,20
1473335038,21
1473335638,21.1
1473336238,21.2
1473336838,21.3
1473337438,21
1473338038,21
1473338638,22
1473339238,23
1473339838,23.5
1473340438,24
1473341038,24.5
1473341638,24
1473342238,23.5
1473342838,23
1473343438,22
1473344038,21.5
1473344638,21
1473345238,19
1473345838,18.5
1473346438,19
1473347038,19.5
1473347638,20
1473348238,20
1473348838,21
1473349438,21.1
1473350038,21.2
1473350638,21.3
1473351238,21
1473351838,21
1473352438,22
1473353038,23
1473353638,23.5
1473354238,24
1473354838,24.5
1473355438,24
1473356038,23.5
1473356638,23
1473357238,22
1473357838,21.5
1473358438,21
1473359038,19
1473359638,20

